 Code ; Nom complet ; Altitude ; Accès ; WGS84 Lon D ; WGS84 Lat D 
 PE-TAC-3005 ; Abra Mogotito ;3005; S ; -70.341504 ; -17.458194 
 PE-TAC-3064 ; Paso Huanaco ;3064; Route Mina de Toquepala (privé?) ; -70.632394 ; -17.283929 
 PE-TAC-4313 ; Paso Huaylillas Sur ;4313; R ; -69.814189 ; -17.808344 
 PE-TAC-4457 ; Paso Huaylillas Norte ;4457; R ; -69.838583 ; -17.768282 
 PE-TAC-4716 ; Abra Quequesane ;4716; R1 - PE-38 ; -69.926121 ; -17.392406 
 PE-TAC-4796 ; Abra Livine ;4796; R1 - PE-38 ; -69.873549 ; -17.326592 
 PE-TAC-4903 ; Abra Huaytire ;4903; S ; -70.380487 ; -16.813205 
 PE-TAC-5001 ; Abra El Viento ;5001; R1 - PE-40 ; -69.79326 ; -17.618486 
 PE-TUM-0223 ; Portachuelo Plateros ;223; HS ; -80.724811 ; -3.876085 
 EC-A-3445 ; Tinajilla Pass ;3445; E35 ; -79.026158 ; -3.185934 
 EC-N-4065 ; Papallacta Pass ;4065; E28 ; -78.202227 ; -0.332362 
 EC-T-4375 ; Collado Abraspungo ;4375; R ; -78.789937 ; -1.413063 

